id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
16581,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '1'}","{'h': '2.04186', 'a': '0.960493'}",2022-01-02 14:00:00,"{'w': 0.6238979835458208, 'd': 0.20663287785874496, 'l': 0.1694691335150114}",l,92
16596,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '1.35507', 'a': '0.388963'}",2022-01-23 14:00:00,"{'w': 0.6147509321614137, 'd': 0.27982950175525717, 'l': 0.10541956606278724}",d,92
16539,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '0'}","{'h': '0.765905', 'a': '0.933965'}",2022-02-05 18:00:00,"{'w': 0.28373090480119234, 'd': 0.33871873222046306, 'l': 0.37755036297822336}",d,92
16608,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.772721', 'a': '1.83387'}",2022-02-08 20:00:00,"{'w': 0.15230887967334605, 'd': 0.22176643759267517, 'l': 0.6259246815035823}",d,92
16617,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '1.16081', 'a': '1.95722'}",2022-02-13 14:00:00,"{'w': 0.22269141726022673, 'd': 0.21851844836126372, 'l': 0.5587901314635536}",l,92
16628,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '3'}","{'h': '0.44587', 'a': '0.821228'}",2022-02-19 15:00:00,"{'w': 0.18669112280107408, 'd': 0.3946095878274222, 'l': 0.41869928937148515}",w,92
16499,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '0'}","{'h': '1.55576', 'a': '0.691655'}",2022-02-23 19:30:00,"{'w': 0.5813251478754824, 'd': 0.2538833872617828, 'l': 0.16479146472748987}",w,92
16640,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '1'}","{'h': '1.03765', 'a': '0.255988'}",2022-02-26 15:00:00,"{'w': 0.557252508615896, 'd': 0.3521078369013735, 'l': 0.09063965448222591}",d,92
16588,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '2'}","{'h': '1.04214', 'a': '1.79558'}",2022-03-01 19:45:00,"{'w': 0.2182847530580771, 'd': 0.23140240556340735, 'l': 0.5503128404488825}",l,92
16647,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '4'}","{'h': '0.849232', 'a': '2.2868'}",2022-03-05 15:00:00,"{'w': 0.12371021342597481, 'd': 0.17881944286837478, 'l': 0.6974703215707725}",l,92
16657,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '0'}","{'h': '1.82002', 'a': '0.825311'}",2022-03-12 15:00:00,"{'w': 0.6094062114772119, 'd': 0.22498964936179716, 'l': 0.16560413804858876}",l,92
16684,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.0591223', 'a': '1.62008'}",2022-04-02 14:00:00,"{'w': 0.011907481173356743, 'd': 0.20482077001868043, 'l': 0.7832717485740772}",l,92
16558,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '2'}","{'h': '2.24439', 'a': '2.31574'}",2022-04-06 18:30:00,"{'w': 0.3906950993049597, 'd': 0.1927211290627943, 'l': 0.41658372822349715}",w,92
