goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,0,0,56,MC,Liverpool,West Ham,2,0,2015-01-31,4582,2014,26402,0,0,0,0,0,0,0,3364
1,2,0.5584020018577576,20,Sub,West Ham,Hull,3,0,2015-01-18,4578,2014,22249,0,0,0,1,0.5584020018577576,0.6734309792518616,0.1150289997458458,3364
0,0,0,18,Sub,Swansea,West Ham,1,1,2015-01-10,4562,2014,21072,0.03672190010547638,0,1,0,0,0,0,3364
0,1,0.015131499618291855,56,MC,West Ham,West Bromwich Albion,1,1,2015-01-01,4556,2014,22986,0,0,0,0,0.015131499618291855,0.7365360260009766,0.7214040160179138,3364
0,2,0.07583130151033401,90,MC,West Ham,Arsenal,1,2,2014-12-28,4645,2014,22112,0,0,0,0,0.07583130151033401,0.07583130151033401,0,3364
0,2,0.3287299871444702,15,Sub,Chelsea,West Ham,2,0,2014-12-26,4629,2014,22788,0.0457506999373436,0,1,0,0.3287299871444702,0.3744800090789795,0,3364
0,0,0,1,Sub,West Ham,Leicester,2,0,2014-12-20,4620,2014,22501,0,0,0,0,0,0,0,3364
0,1,0.059352800250053406,68,AMR,West Bromwich Albion,West Ham,1,2,2014-12-02,4594,2014,22315,0,0,0,0,0.059352800250053406,0.059352800250053406,0,3364
0,0,0,90,AMR,West Ham,Newcastle United,1,0,2014-11-29,4680,2014,21541,0.046706099063158035,0,1,0,0,0.06411279737949371,0.017406700178980827,3364
0,2,0.06512109935283661,84,MC,Everton,West Ham,2,1,2014-11-22,4673,2014,19254,0.053047798573970795,1,1,0,0.06512109935283661,0.08541399985551834,0,3364
0,0,0,48,FWL,Stoke,West Ham,2,2,2014-11-01,4650,2014,19009,0,0,0,0,0,0,0,3364
1,1,0.8568050265312195,69,MC,West Ham,Manchester City,2,1,2014-10-25,4709,2014,19324,0,0,0,1,0.8568050265312195,0.8568050265312195,0,3364
0,2,0.03618859872221947,90,MC,Burnley,West Ham,1,3,2014-10-18,4701,2014,18843,0.1315470039844513,0,1,0,0.03618859872221947,0.9280779957771301,0.8918889760971069,3364
0,0,0,90,MC,West Ham,Queens Park Rangers,2,0,2014-10-05,4698,2014,20531,0.025154700502753258,0,1,0,0,0.025154700502753258,0,3364
0,1,0.060318101197481155,63,AML,Manchester United,West Ham,2,1,2014-09-27,4740,2014,18568,0,0,0,0,0.060318101197481155,0.12464799731969833,0.12464799731969833,3364
1,1,0.13986699283123016,15,Sub,West Ham,Liverpool,3,1,2014-09-20,4734,2014,18391,0,0,0,1,0.13986699283123016,0.13986699283123016,0,3364
0,1,0.01691889949142933,2,Sub,Hull,West Ham,2,2,2014-09-15,4728,2014,17963,0,0,0,0,0.01691889949142933,0.16760799288749695,0.1506890058517456,3364
